singular,plural,merged
gaussian process,gaussian processes,gaussian process(es)
topological phase,topological phases,topological phase(s)
transformer architecture,transformer architectures,transformer architecture(s)
mass range,mass ranges,mass range(s)
latent space,latent spaces,latent space(s)
self attention,self attentions,self attention(s)
benchmark dataset,benchmark datasets,benchmark dataset(s)
initial state,initial states,initial state(s)
electric field,electric fields,electric field(s)
effective mass,effective masses,effective mass(es)
electromagnetic field,electromagnetic fields,electromagnetic field(s)
main theorem,main theorems,main theorem(s)
weak solution,weak solutions,weak solution(s)
exact solution,exact solutions,exact solution(s)
free energy,free energies,free energy(ies)
chemical potential,chemical potentials,chemical potential(s)
angular momentum,angular momenta,angular momentum (momenta)
estimation error,estimation errors,estimation error(s)
regression model,regression models,regression model(s)
moduli space,moduli spaces,moduli space(s)
positive integer,positive integers,positive integer(s)
asymptotic behavior,asymptotic behaviors,asymptotic behavior(s)
fluid dynamic,fluid dynamics,fluid dynamic(s)
poor performance,poor performances,poor performance(s)
hilbert space,hilbert spaces,hilbert space(s)
monte carlo simulation,monte carlo simulations,monte carlo simulation(s)
algebraic structure,algebraic structures,algebraic structure(s)
sample size,sample sizes,sample size(s)
feature representation,feature representations,feature representation(s)
generalization performance,generalization performances,generalization performance(s)
number density,number densities,number density(ies)
hierarchical structure,hierarchical structures,hierarchical structure(s)
neural network architecture,neural network architectures,neural network architecture(s)
human evaluation,human evaluations,human evaluation(s)
rapid development,rapid developments,rapid development(s)
accurate prediction,accurate predictions,accurate prediction(s)
frequency range,frequency ranges,frequency range(s)
cost function,cost functions,cost function(s)
mixture model,mixture models,mixture model(s)
search space,search spaces,search space(s)
recommendation system,recommendation systems,recommendation system(s)
medical image,medical images,medical image(s)
random graph,random graphs,random graph(s)
dynamic range,dynamic ranges,dynamic range(s)
network topology,network topologies,network topology(ies)
growth rate,growth rates,growth rate(s)
feature space,feature spaces,feature space(s)
momentum space,momentum spaces,momentum space(s)
fourier transform,fourier transforms,fourier transform(s)
approximate solution,approximate solutions,approximate solution(s)
analytical solution,analytical solutions,analytical solution(s)
input image,input images,input image(s)
correlation function,correlation functions,correlation function(s)
point cloud,point clouds,point cloud(s)
integral equation,integral equations,integral equation(s)
sample complexity,sample complexities,sample complexity(ies)
finite difference,finite differences,finite difference(s)
adversarial network,adversarial networks,adversarial network(s)
higher accuracy,higher accuracies,higher accuracy(ies)
training data set,training data sets,training data set(s)
random field,random fields,random field(s)
noise level,noise levels,noise level(s)
entangled state,entangled states,entangled state(s)
scalar field,scalar fields,scalar field(s)
first principles calculation,first principles calculations,first principles calculation(s)
proton collision,proton collisions,proton collision(s)
ray emission,ray emissions,ray emission(s)
magnetic flux,magnetic fluxes,magnetic flux(es)
embedding space,embedding spaces,embedding space(s)
low latency,low latencies,low latency(ies)
kinetic energy,kinetic energies,kinetic energy(ies)
vector field,vector fields,vector field(s)
cosmological constant,cosmological constants,cosmological constant(s)
detection rate,detection rates,detection rate(s)
fundamental group,fundamental groups,fundamental group(s)
parameter estimation,parameter estimations,parameter estimation(s)
spin wave,spin waves,spin wave(s)
coherent state,coherent states,coherent state(s)
attention module,attention modules,attention module(s)
theoretical understanding,theoretical understandings,theoretical understanding(s)
wireless communication,wireless communications,wireless communication(s)
partition function,partition functions,partition function(s)
form factor,form factors,form factor(s)
arbitrary dimension,arbitrary dimensions,arbitrary dimension(s)
spin polarization,spin polarizations,spin polarization(s)
explicit formula,explicit formulae,explicit formula (formulae)
resource allocation,resource allocations,resource allocation(s)
bounded domain,bounded domains,bounded domain(s)
explicit construction,explicit constructions,explicit construction(s)
computational efficiency,computational efficiencies,computational efficiency(ies)
robotic system,robotic systems,robotic system(s)
energy distribution,energy distributions,energy distribution(s)
approximation error,approximation errors,approximation error(s)
high redshift,high redshifts,high redshift(s)
iterative algorithm,iterative algorithms,iterative algorithm(s)
cross correlation,cross correlations,cross correlation(s)
computation cost,computation costs,computation cost(s)
gauge field,gauge fields,gauge field(s)
light source,light sources,light source(s)
current density,current densities,current density(ies)
cauchy problem,cauchy problems,cauchy problem(s)
velocity field,velocity fields,velocity field(s)
graph neural network,graph neural networks,graph neural network(s)
mobile device,mobile devices,mobile device(s)
directed graph,directed graphs,directed graph(s)
thermal conductivity,thermal conductivities,thermal conductivity(ies)
prediction accuracy,prediction accuracies,prediction accuracy(ies)
power spectrum,power spectra,power spectrum (spectra)
effective hamiltonian,effective hamiltonians,effective hamiltonian(s)
single photon,single photons,single photon(s)
prime number,prime numbers,prime number(s)
quantum coherence,quantum coherences,quantum coherence(s)
necessary condition,necessary conditions,necessary condition(s)
diffusion process,diffusion processes,diffusion process(es)
spin current,spin currents,spin current(s)
noise ratio,noise ratios,noise ratio(s)
autonomous vehicle,autonomous vehicles,autonomous vehicle(s)
lower level,lower levels,lower level(s)
square lattice,square lattices,square lattice(s)
estimation accuracy,estimation accuracies,estimation accuracy(ies)
gradient flow,gradient flows,gradient flow(s)
transverse momentum,transverse momenta,transverse momentum (momenta)
banach space,banach spaces,banach space(s)
tensor product,tensor products,tensor product(s)
automorphism group,automorphism groups,automorphism group(s)
user behavior,user behaviors,user behavior(s)
particle size,particle sizes,particle size(s)
strong magnetic field,strong magnetic fields,strong magnetic field(s)
type inequality,type inequalities,type inequality(ies)
probability measure,probability measures,probability measure(s)
length scale,length scales,length scale(s)
complete classification,complete classifications,complete classification(s)
test accuracy,test accuracies,test accuracy(ies)
feature map,feature maps,feature map(s)
brownian motion,brownian motions,brownian motion(s)
clustering algorithm,clustering algorithms,clustering algorithm(s)
initial value,initial values,initial value(s)
source code,source codes,source code(s)
computational cost,computational costs,computational cost(s)
performance degradation,performance degradations,performance degradation(s)
turbulent flow,turbulent flows,turbulent flow(s)
theoretical description,theoretical descriptions,theoretical description(s)
effective field theory,effective field theories,effective field theory(ies)
nearest neighbor,nearest neighbors,nearest neighbor(s)
entanglement entropy,entanglement entropies,entanglement entropy(ies)
temperature range,temperature ranges,temperature range(s)
energy efficiency,energy efficiencies,energy efficiency(ies)
simplified model,simplified models,simplified model(s)
covariance matrix,covariance matrices,covariance matrix (matrices)
abelian group,abelian groups,abelian group(s)
generating function,generating functions,generating function(s)
point source,point sources,point source(s)
analytical expression,analytical expressions,analytical expression(s)
irreducible representation,irreducible representations,irreducible representation(s)
equivalence class,equivalence classes,equivalence class(es)
pre train,pre trains,pre train(s)
prediction error,prediction errors,prediction error(s)
accurately predict,accurately predicts,accurately predict(s)
target domain,target domains,target domain(s)
random matrix,random matrices,random matrix (matrices)
lie algebra,lie algebras,lie algebra(s)
blow up,blow ups,blow up(s)
fine structure,fine structures,fine structure(s)
connected component,connected components,connected component(s)
cellular network,cellular networks,cellular network(s)
high pressure,high pressures,high pressure(s)
minimization problem,minimization problems,minimization problem(s)
cosmological simulation,cosmological simulations,cosmological simulation(s)
error rate,error rates,error rate(s)
coordinate system,coordinate systems,coordinate system(s)
temperature dependence,temperature dependences,temperature dependence(s)
coupling strength,coupling strengths,coupling strength(s)
matrix element,matrix elements,matrix element(s)
data augmentation,data augmentations,data augmentation(s)
constrained optimization problem,constrained optimization problems,constrained optimization problem(s)
link prediction,link predictions,link prediction(s)
emission line,emission lines,emission line(s)
plane wave,plane waves,plane wave(s)
hubbard model,hubbard models,hubbard model(s)
charged particle,charged particles,charged particle(s)
experimental evaluation,experimental evaluations,experimental evaluation(s)
explicit expression,explicit expressions,explicit expression(s)
excited state,excited states,excited state(s)
scaling limit,scaling limits,scaling limit(s)
orbit coupling,orbit couplings,orbit coupling(s)
communication cost,communication costs,communication cost(s)
sequence length,sequence lengths,sequence length(s)
field strength,field strengths,field strength(s)
matrix factorization,matrix factorizations,matrix factorization(s)
decay rate,decay rates,decay rate(s)
quadratic form,quadratic forms,quadratic form(s)
momentum tensor,momentum tensors,momentum tensor(s)
fermi surface,fermi surfaces,fermi surface(s)
underlying mechanism,underlying mechanisms,underlying mechanism(s)
mobile robot,mobile robots,mobile robot(s)
ising model,ising models,ising model(s)
approximation scheme,approximation schemes,approximation scheme(s)
interaction strength,interaction strengths,interaction strength(s)
feedback control,feedback controls,feedback control(s)
deep convolutional neural network,deep convolutional neural networks,deep convolutional neural network(s)
error bound,error bounds,error bound(s)
flat band,flat bands,flat band(s)
coulomb interaction,coulomb interactions,coulomb interaction(s)
expected value,expected values,expected value(s)
epidemic model,epidemic models,epidemic model(s)
human motion,human motions,human motion(s)
functional form,functional forms,functional form(s)
spectroscopic survey,spectroscopic surveys,spectroscopic survey(s)
crystal structure,crystal structures,crystal structure(s)
ordinary differential equation,ordinary differential equations,ordinary differential equation(s)
programming language,programming languages,programming language(s)
change point,change points,change point(s)
galaxy cluster,galaxy clusters,galaxy cluster(s)
mechanical property,mechanical properties,mechanical property(ies)
binary classification,binary classifications,binary classification(s)
data stream,data streams,data stream(s)
electron density,electron densities,electron density(ies)
artificial neural network,artificial neural networks,artificial neural network(s)
density functional,density functionals,density functional(s)
data release,data releases,data release(s)
saddle point,saddle points,saddle point(s)
gauge group,gauge groups,gauge group(s)
least square,least squares,least square(s)
theoretical guarantee,theoretical guarantees,theoretical guarantee(s)
experimental observation,experimental observations,experimental observation(s)
public dataset,public datasets,public dataset(s)
visual representation,visual representations,visual representation(s)
chemical reaction,chemical reactions,chemical reaction(s)
spatial correlation,spatial correlations,spatial correlation(s)
high computational complexity,high computational complexities,high computational complexity(ies)
against adversarial attack,against adversarial attacks,against adversarial attack(s)
closed loop,closed loops,closed loop(s)
finite sample,finite samples,finite sample(s)
riemannian manifold,riemannian manifolds,riemannian manifold(s)
limit theorem,limit theorems,limit theorem(s)
uncertainty estimation,uncertainty estimations,uncertainty estimation(s)
cosmic ray,cosmic rays,cosmic ray(s)
host star,host stars,host star(s)
mild condition,mild conditions,mild condition(s)
numerical integration,numerical integrations,numerical integration(s)
radio frequency,radio frequencies,radio frequency(ies)
unit cell,unit cells,unit cell(s)
linear regression,linear regressions,linear regression(s)
spectral range,spectral ranges,spectral range(s)
reconfigurable intelligent surface,reconfigurable intelligent surfaces,reconfigurable intelligent surface(s)
hyperbolic space,hyperbolic spaces,hyperbolic space(s)
time delay,time delays,time delay(s)
computer simulation,computer simulations,computer simulation(s)
linear regression model,linear regression models,linear regression model(s)
surrounding environment,surrounding environments,surrounding environment(s)
covid-19 outbreak,covid-19 outbreaks,covid-19 outbreak(s)
minimal surface,minimal surfaces,minimal surface(s)
ab initio calculation,ab initio calculations,ab initio calculation(s)
compact object,compact objects,compact object(s)
growth condition,growth conditions,growth condition(s)
two dimensional 2d material,two dimensional 2d materials,two dimensional 2d material(s)
pose estimation,pose estimations,pose estimation(s)
constant factor,constant factors,constant factor(s)
sobolev space,sobolev spaces,sobolev space(s)
probability density,probability densities,probability density(ies)
nonlinear dynamical system,nonlinear dynamical systems,nonlinear dynamical system(s)
things iot device,things iot devices,things iot device(s)
square root,square roots,square root(s)
frequency domain,frequency domains,frequency domain(s)
mean field theory,mean field theories,mean field theory(ies)
community structure,community structures,community structure(s)
harmonic potential,harmonic potentials,harmonic potential(s)
coupling constant,coupling constants,coupling constant(s)
high computational cost,high computational costs,high computational cost(s)
dispersion relation,dispersion relations,dispersion relation(s)
surrogate model,surrogate models,surrogate model(s)
evaluation metric,evaluation metrics,evaluation metric(s)
synthetic dataset,synthetic datasets,synthetic dataset(s)
large deviation,large deviations,large deviation(s)
quality assessment,quality assessments,quality assessment(s)
gauge symmetry,gauge symmetries,gauge symmetry(ies)
detection efficiency,detection efficiencies,detection efficiency(ies)
quantum technology,quantum technologies,quantum technology(ies)
quantum computation,quantum computations,quantum computation(s)
feature vector,feature vectors,feature vector(s)
user preference,user preferences,user preference(s)
velocity distribution,velocity distributions,velocity distribution(s)
accretion disk,accretion disks,accretion disk(s)
gamma ray,gamma rays,gamma ray(s)
mass ratio,mass ratios,mass ratio(s)
optical response,optical responses,optical response(s)
conservation law,conservation laws,conservation law(s)
self attention mechanism,self attention mechanisms,self attention mechanism(s)
normal form,normal forms,normal form(s)
scattering process,scattering processes,scattering process(es)
visual content,visual contents,visual content(s)
bipartite graph,bipartite graphs,bipartite graph(s)
harmonic oscillator,harmonic oscillators,harmonic oscillator(s)
relative entropy,relative entropies,relative entropy(ies)
similarity measure,similarity measures,similarity measure(s)
phase shift,phase shifts,phase shift(s)
energy transfer,energy transfers,energy transfer(s)
vision transformer,vision transformers,vision transformer(s)
chemical composition,chemical compositions,chemical composition(s)
time interval,time intervals,time interval(s)
honeycomb lattice,honeycomb lattices,honeycomb lattice(s)
user interface,user interfaces,user interface(s)
weighted sum,weighted sums,weighted sum(s)
causal structure,causal structures,causal structure(s)
external magnetic field,external magnetic fields,external magnetic field(s)
flow rate,flow rates,flow rate(s)
tensor network,tensor networks,tensor network(s)
spectral density,spectral densities,spectral density(ies)
radio emission,radio emissions,radio emission(s)
recommender system,recommender systems,recommender system(s)
elliptic curve,elliptic curves,elliptic curve(s)
step size,step sizes,step size(s)
active region,active regions,active region(s)
stochastic gradient,stochastic gradients,stochastic gradient(s)
generalization ability,generalization abilities,generalization ability(ies)
human expert,human experts,human expert(s)
molecular gas,molecular gases,molecular gas(es)
automatically detect,automatically detects,automatically detect(s)
variational autoencoder,variational autoencoders,variational autoencoder(s)
thermodynamic limit,thermodynamic limits,thermodynamic limit(s)
navier stokes equation,navier stokes equations,navier stokes equation(s)
heavy ion,heavy ions,heavy ion(s)
estimation procedure,estimation procedures,estimation procedure(s)
critical temperature,critical temperatures,critical temperature(s)
adjacency matrix,adjacency matrices,adjacency matrix (matrices)
density matrix,density matrices,density matrix (matrices)
massive star,massive stars,massive star(s)
diffusion equation,diffusion equations,diffusion equation(s)
user experience,user experiences,user experience(s)
configuration space,configuration spaces,configuration space(s)
pseudo label,pseudo labels,pseudo label(s)
unit sphere,unit spheres,unit sphere(s)
continuum limit,continuum limits,continuum limit(s)
predictive performance,predictive performances,predictive performance(s)
blockchain technology,blockchain technologies,blockchain technology(ies)
charge carrier,charge carriers,charge carrier(s)
stochastic differential equation,stochastic differential equations,stochastic differential equation(s)
weighted graph,weighted graphs,weighted graph(s)
toy model,toy models,toy model(s)
poisson process,poisson processes,poisson process(es)
physical origin,physical origins,physical origin(s)
latent representation,latent representations,latent representation(s)
direct numerical simulation,direct numerical simulations,direct numerical simulation(s)
integrated luminosity,integrated luminosities,integrated luminosity(ies)
strong correlation,strong correlations,strong correlation(s)
linear transformation,linear transformations,linear transformation(s)
2d material,2d materials,2d material(s)
asymptotic expansion,asymptotic expansions,asymptotic expansion(s)
financial market,financial markets,financial market(s)
exchange interaction,exchange interactions,exchange interaction(s)
spin qubit,spin qubits,spin qubit(s)
decision process,decision processes,decision process(es)
word embedding,word embeddings,word embedding(s)
confidence interval,confidence intervals,confidence interval(s)
aspect ratio,aspect ratios,aspect ratio(s)
success rate,success rates,success rate(s)
radial velocity,radial velocities,radial velocity(ies)
algorithmic framework,algorithmic frameworks,algorithmic framework(s)
video content,video contents,video content(s)
spatial dimension,spatial dimensions,spatial dimension(s)
intrinsic property,intrinsic properties,intrinsic property(ies)
hausdorff dimension,hausdorff dimensions,hausdorff dimension(s)
explicit description,explicit descriptions,explicit description(s)
domain wall,domain walls,domain wall(s)
significant reduction,significant reductions,significant reduction(s)
human perception,human perceptions,human perception(s)
scattering amplitude,scattering amplitudes,scattering amplitude(s)
time horizon,time horizons,time horizon(s)
measurement error,measurement errors,measurement error(s)
lattice constant,lattice constants,lattice constant(s)
central region,central regions,central region(s)
inductive bias,inductive biases,inductive bias(es)
efficiently compute,efficiently computes,efficiently compute(s)
convex optimization problem,convex optimization problems,convex optimization problem(s)
kinetic equation,kinetic equations,kinetic equation(s)
bounding box,bounding boxes,bounding box(es)
human activity,human activities,human activity(ies)
dirac fermion,dirac fermions,dirac fermion(s)
viscosity solution,viscosity solutions,viscosity solution(s)
electrical conductivity,electrical conductivities,electrical conductivity(ies)
protoplanetary disk,protoplanetary disks,protoplanetary disk(s)
transfer matrix,transfer matrices,transfer matrix (matrices)
power grid,power grids,power grid(s)
sky survey,sky surveys,sky survey(s)
graphical model,graphical models,graphical model(s)
image classification task,image classification tasks,image classification task(s)
heavy ion collision,heavy ion collisions,heavy ion collision(s)
dirichlet boundary condition,dirichlet boundary conditions,dirichlet boundary condition(s)
low energy density,low energy densities,low energy density(ies)
principal component,principal components,principal component(s)
loss rate,loss rates,loss rate(s)
simulated environment,simulated environments,simulated environment(s)
transfer function,transfer functions,transfer function(s)
spectral gap,spectral gaps,spectral gap(s)
orbital period,orbital periods,orbital period(s)
rational function,rational functions,rational function(s)
higgs boson,higgs bosons,higgs boson(s)
genetic algorithm,genetic algorithms,genetic algorithm(s)
random forest,random forests,random forest(s)
dinger equation,dinger equations,dinger equation(s)
host galaxy,host galaxies,host galaxy(ies)
electron beam,electron beams,electron beam(s)
feasible set,feasible sets,feasible set(s)
prime power,prime powers,prime power(s)
reward function,reward functions,reward function(s)
latent variable,latent variables,latent variable(s)
spectral efficiency,spectral efficiencies,spectral efficiency(ies)
video sequence,video sequences,video sequence(s)
zero mode,zero modes,zero mode(s)
periodic orbit,periodic orbits,periodic orbit(s)
direct sum,direct sums,direct sum(s)
spatial discretization,spatial discretizations,spatial discretization(s)
gaussian noise,gaussian noises,gaussian noise(s)
fine tune,fine tunes,fine tune(s)
topological invariant,topological invariants,topological invariant(s)
noisy observation,noisy observations,noisy observation(s)
rare event,rare events,rare event(s)
white noise,white noises,white noise(s)
asymptotic formula,asymptotic formulae,asymptotic formula (formulae)
risk measure,risk measures,risk measure(s)
hyper parameter,hyper parameters,hyper parameter(s)
weyl semimetal,weyl semimetals,weyl semimetal(s)
high energy density,high energy densities,high energy density(ies)
fractional laplacian,fractional laplacians,fractional laplacian(s)
label noise,label noises,label noise(s)
maximum principle,maximum principles,maximum principle(s)
normal distribution,normal distributions,normal distribution(s)
reduction technique,reduction techniques,reduction technique(s)
test statistic,test statistics,test statistic(s)
pairwise interaction,pairwise interactions,pairwise interaction(s)
galactic halo,galactic halos,galactic halo(s)
central limit theorem,central limit theorems,central limit theorem(s)
surface tension,surface tensions,surface tension(s)
optical flow,optical flows,optical flow(s)
higher resolution,higher resolutions,higher resolution(s)
design principle,design principles,design principle(s)
physical quantity,physical quantities,physical quantity(ies)
physical mechanism,physical mechanisms,physical mechanism(s)
scalar field theory,scalar field theories,scalar field theory(ies)
approximation ratio,approximation ratios,approximation ratio(s)
gamma ray emission,gamma ray emissions,gamma ray emission(s)
node embedding,node embeddings,node embedding(s)
flux density,flux densities,flux density(ies)
weight matrix,weight matrices,weight matrix (matrices)
commutative ring,commutative rings,commutative ring(s)
product state,product states,product state(s)
central charge,central charges,central charge(s)
scheduling problem,scheduling problems,scheduling problem(s)
expectation value,expectation values,expectation value(s)
governing equation,governing equations,governing equation(s)
text classification task,text classification tasks,text classification task(s)
small molecule,small molecules,small molecule(s)
robust optimization problem,robust optimization problems,robust optimization problem(s)
triangular lattice,triangular lattices,triangular lattice(s)
deep learning paradigm,deep learning paradigms,deep learning paradigm(s)
shear flow,shear flows,shear flow(s)
series expansion,series expansions,series expansion(s)
improved version,improved versions,improved version(s)
cavity mode,cavity modes,cavity mode(s)
coupling regime,coupling regimes,coupling regime(s)
posterior distribution,posterior distributions,posterior distribution(s)
characteristic feature,characteristic features,characteristic feature(s)
hydrodynamic simulation,hydrodynamic simulations,hydrodynamic simulation(s)
theoretical investigation,theoretical investigations,theoretical investigation(s)
differential cross section,differential cross sections,differential cross section(s)
experimental realization,experimental realizations,experimental realization(s)
gravitational potential,gravitational potentials,gravitational potential(s)
master equation,master equations,master equation(s)
cnn architecture,cnn architectures,cnn architecture(s)
eigenvalue problem,eigenvalue problems,eigenvalue problem(s)
spin chain,spin chains,spin chain(s)
two benchmark dataset,two benchmark datasets,two benchmark dataset(s)
alpha emission,alpha emissions,alpha emission(s)
energy gap,energy gaps,energy gap(s)
band gap,band gaps,band gap(s)
scattering problem,scattering problems,scattering problem(s)
superconducting qubit,superconducting qubits,superconducting qubit(s)
soliton solution,soliton solutions,soliton solution(s)
differential operator,differential operators,differential operator(s)
simplicial complex,simplicial complexes,simplicial complex(es)
training data augmentation,training data augmentations,training data augmentation(s)
resource constraint,resource constraints,resource constraint(s)
spin fluctuation,spin fluctuations,spin fluctuation(s)
light cone,light cones,light cone(s)
stochastic optimization problem,stochastic optimization problems,stochastic optimization problem(s)
short period,short periods,short period(s)
event horizon,event horizons,event horizon(s)
velocity dispersion,velocity dispersions,velocity dispersion(s)
positive impact,positive impacts,positive impact(s)
singular point,singular points,singular point(s)
test particle,test particles,test particle(s)
orbital motion,orbital motions,orbital motion(s)
virtual environment,virtual environments,virtual environment(s)
quality factor,quality factors,quality factor(s)
auxiliary task,auxiliary tasks,auxiliary task(s)
risk assessment,risk assessments,risk assessment(s)
integral operator,integral operators,integral operator(s)
porous medium,porous media,porous medium (media)
josephson junction,josephson junctions,josephson junction(s)
quantum interference,quantum interferences,quantum interference(s)
speed limit,speed limits,speed limit(s)
transition metal,transition metals,transition metal(s)
global symmetry,global symmetries,global symmetry(ies)
density profile,density profiles,density profile(s)
intermediate representation,intermediate representations,intermediate representation(s)
higher derivative,higher derivatives,higher derivative(s)
sampling scheme,sampling schemes,sampling scheme(s)
half space,half spaces,half space(s)
shortest path,shortest paths,shortest path(s)
sensitive probe,sensitive probes,sensitive probe(s)
evolutionary algorithm,evolutionary algorithms,evolutionary algorithm(s)
heavy quark,heavy quarks,heavy quark(s)
detailed description,detailed descriptions,detailed description(s)
electric current,electric currents,electric current(s)
universality class,universality classes,universality class(es)
joint optimization problem,joint optimization problems,joint optimization problem(s)
scattering length,scattering lengths,scattering length(s)
magnetic field theory,magnetic field theories,magnetic field theory(ies)
front end,front ends,front end(s)
exchange coupling,exchange couplings,exchange coupling(s)
effective temperature,effective temperatures,effective temperature(s)
query complexity,query complexities,query complexity(ies)
ahler manifold,ahler manifolds,ahler manifold(s)
surface gravity,surface gravities,surface gravity(ies)
base station,base stations,base station(s)
distributed optimization problem,distributed optimization problems,distributed optimization problem(s)
free electron,free electrons,free electron(s)
unit ball,unit balls,unit ball(s)
confidence level,confidence levels,confidence level(s)
communication complexity,communication complexities,communication complexity(ies)
scaling behavior,scaling behaviors,scaling behavior(s)
ray spectrum,ray spectra,ray spectrum (spectra)
generative adversarial network,generative adversarial networks,generative adversarial network(s)
star cluster,star clusters,star cluster(s)
cost reduction,cost reductions,cost reduction(s)
consensus algorithm,consensus algorithms,consensus algorithm(s)
long wavelength,long wavelengths,long wavelength(s)
electron gas,electron gases,electron gas(es)
spectral resolution,spectral resolutions,spectral resolution(s)
relative velocity,relative velocities,relative velocity(ies)
diffusion coefficient,diffusion coefficients,diffusion coefficient(s)
exceptional point,exceptional points,exceptional point(s)
exact sequence,exact sequences,exact sequence(s)
pattern formation,pattern formations,pattern formation(s)
planar graph,planar graphs,planar graph(s)
learning paradigm,learning paradigms,learning paradigm(s)
analytic solution,analytic solutions,analytic solution(s)
smart city,smart cities,smart city(ies)
universal feature,universal features,universal feature(s)
lyapunov function,lyapunov functions,lyapunov function(s)
perfect fluid,perfect fluids,perfect fluid(s)
combinatorial optimization problem,combinatorial optimization problems,combinatorial optimization problem(s)
innovative approach,innovative approaches,innovative approach(es)
stationary distribution,stationary distributions,stationary distribution(s)
invariant measure,invariant measures,invariant measure(s)
